"","Variety","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","L024","L025","L034","L035","L036","L037","L075","L087","L019","L029","L093","L030","L176","L023","L027","L184","L012","L155"
"N0113",-0.97431027918178,-0.429296461463447,0.607923111296452,NA,-0.237744947924927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.0139730578984,-1.17793491465456,-4.09729193281777,8.11386999991716,-9.04820210597376,-0.0901631758699712,-3.10906073587836,-0.491393818824833,13.5023850606885,-1.8717873501676,3.8040310138425,NA,NA,NA,NA,NA,NA,NA
"N0176",-20.3389607926751,-0.621736943957699,-0.612371709834841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.23036323585774,1.44341612693464,-0.680128902242078,-1.6744746516925,-5.49226697193648,3.70195114370083,-1.10735719652856,-2.03440937609891,3.3537932375935,-1.32532134986722,1.03504490666985,NA,NA,NA,NA,NA,NA,NA
"N0064",13.4349681460204,NA,0.815194572694747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.211126530513803,2.97550227278288,2.28094077183043,-3.13559420906595,-3.82936830700339,3.19763037331351,1.91777570097389,-2.76912814791491,4.86308038371653,-0.254191657035963,1.57669491820153,NA,NA,NA,NA,NA,NA,NA
"N0119",10.1462631661262,NA,0.615645573272863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29186543613282,-0.815578710109595,3.12759775175622,-3.44837171984471,-1.82327683637302,3.54738685722308,-2.86710627395107,-1.25993717330077,3.22523488356112,1.42063281625025,1.59518440476693,NA,NA,NA,NA,NA,NA,NA
"N0120",5.1384624012873,NA,0.311786869607718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58862190550499,-2.00332472081864,2.27111873839134,0.1672537309366,-0.526520367000844,2.19400734784195,-2.3985172979393,-1.45388219197732,1.87185537417998,-1.92034867719585,0.738705391402041,NA,NA,NA,NA,NA,NA,NA
"N0121",15.202430826677,NA,0.00567047493061687,0.916768563776938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.039028634193,-2.36797173488675,0.230220530104986,4.68263424397102,-6.9006081481248,-3.45046611531001,-4.72486917787795,2.46058746465929,8.37807842481043,-0.390516390310694,-0.474019618999504,NA,NA,NA,NA,NA,NA,NA
"N0122",-9.10844430138305,NA,0.308100246174069,NA,-0.860774006132194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.49081723627486,-5.50224356973769,-2.17708016869659,2.46647100647602,-2.96330195674411,1.83002595500297,-1.43635869243958,-1.61070441869305,9.08928172567379,-0.752102914534908,6.06397652837367,NA,NA,NA,NA,NA,NA,NA
"N0123",-12.3765940223143,NA,-1.43138881374011,0.680413287354228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00661208360878,-0.012564393754312,4.49890392566545,-1.31473922164657,-1.94102488873834,-3.15744423358985,-3.94278799157856,-2.71046721389647,8.33035048569224,-2.01190378725727,-4.83625606870133,NA,NA,NA,NA,NA,NA,NA
"N0124",-3.55779160030094,NA,2.95083452402191,0.801086068917505,NA,-3.96779698146685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00828282011129,-6.1070503223306,-1.94104746035246,0.669192639803617,-3.33170690871129,4.34343079894536,-0.899206599898037,-4.17216336931801,9.56018850758122,1.76479025263751,-1.71754159231356,-2.92818780513663,NA,NA,NA,NA,NA,NA
"N0126",8.93406535455447,NA,NA,0.542092955485704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90902157390291,2.78917941172548,-7.01522451619146,0.818920396678683,-1.3655551893075,-0.632629458529685,-0.256149144148491,-3.78361850233271,9.3144954854774,-0.109247520749201,0.727838062455797,NA,NA,NA,NA,NA,NA,NA
"N0127",2.8424868122504,NA,NA,0.172473786102041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1218530716383,2.48651338954208,0.632517397885059,-2.13388160425801,-3.98709019290002,-0.935295480713061,-1.2213491610202,-1.76741554310697,8.68056246594984,-0.411913542932588,-1.06552944777632,NA,NA,NA,NA,NA,NA,NA
"N0128",-9.93861663233829,NA,NA,-0.603046188923915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.760012464909983,-0.554786637710768,-3.07131662405612,-1.1999776633809,-4.37825424139958,-0.332658537180125,-3.60011519358473,1.48535737917928,7.62686442276197,1.35015789130492,-1.45669349627586,NA,NA,NA,NA,NA,NA,NA
"N0129",-7.28522965992367,NA,NA,-0.442046428026749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93355402421481,-1.50515711937177,-3.35915311102879,-2.81288213973023,-1.85032125094687,-2.60809700821778,-4.21921867790157,0.866253894862449,11.9767658986076,-0.42838008371648,-1.57889648457646,NA,NA,NA,NA,NA,NA,NA
"N0130",-6.64991165244416,NA,NA,-0.403497189502006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68120449673579,1.08305886244463,-4.58050759867026,-4.36550362471586,-3.07167573858834,-1.51058251445011,-6.76564115491969,-1.68016858215567,8.93344292557322,0.83476790872327,2.16875398794451,NA,NA,NA,NA,NA,NA,NA
"N0131",-9.49015686235274,NA,NA,-0.575834961730034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39203151163121,3.09415783484666,-3.56320961830072,-3.84510614036257,-3.87634624361169,-2.14961952080138,-5.41707617720598,-0.828504100458221,7.7975054232057,0.526997899716158,1.19844998424908,NA,NA,NA,NA,NA,NA,NA
